Name,URL Domein,Conclusie over doel vd bron,Thumbs up 8-14?,Sector,Reclame,Vrije labels bron/onderwerp,uBlocked trackers,Commercialiteit,Onderwerpen,Div Labels NGO,Status,About page," Notes",Kwaliteit_about,Instelling/Bedrijf/Persoon,Resultaten: vrije labels,Moederbedrijf DB,onderzoekNR,Toegankelijkheidspagina,Resultaten DB,Extra URL,Created time,Created by,URL Moederbedrijf,SlimZ Resultaten DB,Resultaten: toegankelijkheid,Cookie info page,More examples,Related to Resultaten DB 01 (1) (Bronnen DB),Res: Ranking,"Res: soort result "
24baby.nl,https://www.24baby.nl/,informatieproduct div. commercieel,Just-in-case,Winkels en bedrijven div,over_the_top_ads,"link/reclamevehikel, nieuws, promotioneel, webshop",5,commercieel,,,Done,https://24baby.app/werken-bij,https://24baby.app/adverteren over opvoeding/ouders journalistiek??,voldoende_about,24baby,,,"1,1,1,1,1",-,"Babynamen 2023: dit worden de populairste namen – 24Baby.nl (https://www.notion.so/Babynamen-2023-dit-worden-de-populairste-namen-24Baby-nl-b19e4b958c5c4b859c0c5f442632d74e?pvs=21), Dit zijn de populairste babynamen van 2022! – 24Baby.nl (https://www.notion.so/Dit-zijn-de-populairste-babynamen-van-2022-24Baby-nl-c2baa1485fb74e97a97fb6ee97cf35f4?pvs=21), Romijn - Herkomst en betekenis van de naam Romijn | 24Baby.nl (https://www.notion.so/Romijn-Herkomst-en-betekenis-van-de-naam-Romijn-24Baby-nl-c7c328c5bd244fd8b31369e330d5354f?pvs=21), Embryo: het prille begin van je baby – 24Baby.nl (https://www.notion.so/Embryo-het-prille-begin-van-je-baby-24Baby-nl-c1c0f66041984216958f10bf9cdec955?pvs=21), Foetus: van embryo tot baby – 24Baby.nl (https://www.notion.so/Foetus-van-embryo-tot-baby-24Baby-nl-77ecdf846e1f4ec4a410c31289764519?pvs=21)",,"November 6, 2023 11:09 AM",Maarten Sprenger,,,,https://24baby.app/privacybeleid,,,"10,7,1,4,2","informatief,informatief,informatief,informatief,informatief"
24kitchen.nl,https://www.24kitchen.nl,"entertainment, informatieproduct div. commercieel",Just-in-case,Entertainment-industrie,"company_promotion, limited_ads, sluikreclame - todo","entertainment, infotainment, promotioneel",17,commercieel,,,Done,,koken/recepten/voedsel; gedeeltelijke login;,te_weinig_info,The Walt Disney Family of Companies,,thewaltdisneycompany.com (https://www.notion.so/thewaltdisneycompany-com-ef8f556bec51490c9fe80bdd2d4a844e?pvs=21),1,-,Pepernoten bakken recept | 24Kitchen (https://www.notion.so/Pepernoten-bakken-recept-24Kitchen-4b3c22c7874e412bbbf0944a13fff1d2?pvs=21),,"December 14, 2023 6:43 PM",Maarten Sprenger,https://privacy.thewaltdisneycompany.com/nl/definities/#Walt-Disney-Family-of-Companies,,,https://privacy.thewaltdisneycompany.com/nl/privacybeleid/cookiesbeleid/,,,6,informatief
http://333travel.nl/,https://www.333travel.nl/,webshop/winkel+promotioneel deel,Just-in-case,Reisorganisaties,company_promotion,"(product)informatie ihkv verkoop/bezoek, bedrijfsinfo/uithangbord, promotioneel, webshop",7,commercieel,,,Done,https://www.333travel.nl/over-ons,https://www.333travel.nl/cookies (best ok). En veel informatie op de site.,uitgebreide_about,333travel,,,1,,De piramides van Gizeh | Alles over de ‘must see’ van Egypte - 333travel (https://www.notion.so/De-piramides-van-Gizeh-Alles-over-de-must-see-van-Egypte-333travel-40ee1704cdee465e902ca9e247d708ea?pvs=21),,"February 23, 2024 5:35 PM",Maarten Sprenger,,,,https://www.333travel.nl/cookies,,,8,informatief
absolutefacts.nl,https://www.absolutefacts.nl/,informatieproduct div. commercieel,Twijfel,Online-bedrijven,company_promotion,"abo-print, informatie_primair_doel, webshop",2,commercieel,geschiedenis,,Done,"https://www.absolutefacts.nl/redactie.htm, https://www.absolutefigures.nl/auteurs/","Best vaag product. Onduidelijk wat de kwalificaties van deze mensen zijn; Ruud van Capelleveen is als auteur ruimschoots op het web te vinden (hij schrift een dagelijkse nieuwsbrief over geschiedenis en maakt veel soortgelijke websites als deze), maar niemand schrijft over hem… Niet positief niet negatief, op https://www.gelderlander.nl/duiven/ruud-62-schrijft-elke-dag-een-nieuwsbrief-over-vroeger-het-maakt-mij-gelukkig~a7040060/203722045/ na. Hij is van 1959. Zit ook niet op Linkedin. ",uitgebreide_about,Absolute Figures,,,1,"- ",Watersnoodramp 1953 Dijkdoorbraken Zeeland en Zuid-Holland (https://www.notion.so/Watersnoodramp-1953-Dijkdoorbraken-Zeeland-en-Zuid-Holland-a9fd04e7590144f09af0baa6b7a66d3d?pvs=21),,"December 14, 2023 7:29 PM",Maarten Sprenger,https://www.absolutefigures.nl/,,,https://www.absolutefacts.nl/uw-privacy.htm,,,7,informatief
http://accuautoshop.nl/,https://www.accuautoshop.nl/,webshop/winkel+promotioneel deel,Nee,Winkels en bedrijven div,company_promotion,webshop,6,commercieel,,,Done,https://www.accuautoshop.nl/over-ons/,,voldoende_about,E-Funn BV,"webshop_result_page,webshop_result_page",,"1,1",,"Elektrische Kindermotor Kopen? | Voor Kids van 1-9 jaar (https://www.notion.so/Elektrische-Kindermotor-Kopen-Voor-Kids-van-1-9-jaar-f0a378e77d414f5da6bef93dcd6cffb5?pvs=21), Elektrische kindermotor kopen? | Voor Kids van 1-9 jaar  (https://www.notion.so/Elektrische-kindermotor-kopen-Voor-Kids-van-1-9-jaar-bebb89c6255c40cba1dcafce47dc584a?pvs=21)",,"February 22, 2024 3:23 PM",Maarten Sprenger,,,,,,,"10,9","transactional,transactional"
ad.nl,https://www.ad.nl/,journalistiek informatieproduct (betaald),Just-in-case,Uitgevers (journalistiek),"company_promotion, many_ads","abo-print, journalistiek, nieuws, paywall (geheel/gedeeltelijk)",15,commercieel,,,Done,https://www.ad.nl/extra/colofon~af0c5c4d/,merendeel paywall?,voldoende_about,"AD, DPG Media Group",,DPG Media Group (https://www.notion.so/DPG-Media-Group-f64d8e92a0584f2098d995aea513158f?pvs=21),"1,1,1,1,1,1",,"Belgische koning Albert (89) opgenomen in het ziekenhuis, ‘toestand geruststellend’ | Show | AD.nl (https://www.notion.so/Belgische-koning-Albert-89-opgenomen-in-het-ziekenhuis-toestand-geruststellend-Show-AD-nl-92d9903d35b8449e88b180ef347c8983?pvs=21), Uitgefloten Cristiano Ronaldo maant supporters tot stilte na Messi-gezang en vraagt om wissel van scheidsrechter | Buitenlands voetbal | AD.nl (https://www.notion.so/Uitgefloten-Cristiano-Ronaldo-maant-supporters-tot-stilte-na-Messi-gezang-en-vraagt-om-wissel-van-sc-e185bf2796774bfcaeea78511d0437f9?pvs=21), Dit zijn de populairste kindernamen van 2022 | Instagram | AD.nl (https://www.notion.so/Dit-zijn-de-populairste-kindernamen-van-2022-Instagram-AD-nl-8566b7cec0484d28aee860c40652dccd?pvs=21), Braziliaanse voetballegende Pelé op 82-jarige leeftijd overleden | Voetbalicoon Pelé overleden | AD.nl (https://www.notion.so/Braziliaanse-voetballegende-Pel-op-82-jarige-leeftijd-overleden-Voetbalicoon-Pel-overleden-AD--675f67d82cfc4d78abbf7e07ae79ea9b?pvs=21), Hoe goed ken jij Greta Thunberg? Test je kennis | Quizzen | AD.nl (https://www.notion.so/Hoe-goed-ken-jij-Greta-Thunberg-Test-je-kennis-Quizzen-AD-nl-055536f28de94c57bebc608486579c3c?pvs=21), Geld | AD.nl (https://www.notion.so/Geld-AD-nl-9bb89729a6c1411b8f048961cea5f5f8?pvs=21)",,"October 26, 2023 2:46 PM",Maarten Sprenger,https://www.dpgmediagroup.com/,,,,,,"7,3,8,3,10,6","informatief,informatief,informatief,informatief,informatief,navigational"
admiralmarkets.com,https://admiralmarkets.com/,informatieproduct div. commercieel,Nee,Online-bedrijven,company_promotion,"kennisbank/centrum, paywall (geheel/gedeeltelijk), promotioneel, webshop",11,commercieel,,,Done,https://admiralmarkets.com/about-us,beleggingsinfo,voldoende_about,,,,1,-,Beleggen in edelmetalen in 2023 (https://www.notion.so/Beleggen-in-edelmetalen-in-2023-0f459cf1cbcf4210b607759bf5afbd0e?pvs=21),,"November 4, 2023 9:34 PM",Maarten Sprenger,,,,cookie consent via pop-up in de footer,,,6,informatief
ah.nl/allerhande,https://www.ah.nl/allerhande,webshop/winkel+promotioneel deel,Just-in-case,Winkels en bedrijven div,company_promotion,"(product)informatie ihkv verkoop/bezoek, bedrijfsinfo/uithangbord, log_in (geheel/gedeeltelijk), promotioneel",6,commercieel,,,Done,https://www.ah.nl/over-ah,Geen ‘aangeboden door’ affiliatie links naar leveranciers zo te zien… Of slimmer?,uitgebreide_about,Albert Heijn,,,1,,Kruidnoten (pepernoten) recept - Allerhande | Albert Heijn (https://www.notion.so/Kruidnoten-pepernoten-recept-Allerhande-Albert-Heijn-476bb1854abf4435972e27287afc3730?pvs=21),,"December 14, 2023 6:42 PM",Maarten Sprenger,,,,https://www.ah.nl/cookiebeleid,,,2,informatief
aljevragen.nl,https://www.aljevragen.nl,informatieproduct div. commercieel,Just-in-case,Leraren/Docenten,limited_ads,"doelgroep VO/12+, onderwijscontent",7,commercieel,,,Done,-,"onduidelijk wie dit maakt, waarschijnlijk een docent; lijkt toch sterk promotioneel (verkoop examenbundels) en best wat advertenties",zelfs_geen_contactgegevens,,,,1,x,"Wat zijn protonen, neutronen en elektronen? (https://www.notion.so/Wat-zijn-protonen-neutronen-en-elektronen-298007f8ebf54d728c0cf2249191768b?pvs=21)",https://www.aljevragen.nl/docenten/,"November 4, 2023 3:28 PM",Maarten Sprenger,,,,,,,10,informatief
allemaalritmica.be,https://www.allemaalritmica.be,verenigingsinformatie-landelijk/lokaal,Just-in-case,Amateur/vrijwilligersverenigingen,company_promotion,"bedrijfsinfo/uithangbord, promotioneel",1,not_for_profit,,,Done,https://www.allemaalritmica.be/bestuur,,te_weinig_info,Ritmica,homepage,,1,,Home - Ritmica (https://www.notion.so/Home-Ritmica-19b94b32407c4d3ba7ddcaf3cf47afc9?pvs=21),,"January 8, 2024 3:50 PM",Maarten Sprenger,,,,,,,1,navigational
