Query,Add Results,Google,Video Facet,Videos-Schooltv?,Kennisvenster?,'Samenvatting'?,Extra (top-down),Opmerkingen,Soort Query (select),Extra (multi),Onderwerp,Leeftijd,Resultaten DB,OK-100,Ranking Conclusie,Date,Bronnen DB,Created time,Bronnen DB 1,Bronnen: Thumbs up?,Bronnen: Toeg.
leven,Done,https://www.google.com/search?q=leven&rlz=1C5CHFA_enNL1081NL1081&oq=leven&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCTEzODVqMGoxNagCALACAA&sourceid=chrome&ie=UTF-8#ip=1,https://www.google.com/search?sca_esv=600376160&rlz=1C5CHFA_enNL1081NL1081&q=leven&tbm=vid&source=lnms&sa=X&ved=2ahUKEwj52onE6vCDAxW93wIHHYsNAXoQ0pQJegQIDhAB&cshid=1705920923091607&biw=1468&bih=1328&dpr=2,-,Nee,Nee,"Gerelateerde zoekopdrachten (na 10), Meer om te vragen (top)",Bij Video’s (na 2) staat de Maan-song Leven gelinkt,Named entity,Media(ster),Natuur/Biologie,8,,Yes,,,,"July 18, 2023 7:47 PM",,,
wat betekent schotse,Done,https://www.google.com/search?q=wat+betekent+schotse&rlz=1C5CHFA_enNL1081NL1081&oq=wat+betekent+schotse&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIKCAEQABgPGBYYHjIICAIQABgWGB4yCAgDEAAYFhgeMgwIBBAAGAoYDxgWGB4yCAgFEAAYFhgeMgoIBhAAGA8YFhgeMgwIBxAAGAoYDxgWGB4yCAgIEAAYFhge0gEINzg1MmoxajeoAgCwAgA&sourceid=chrome&ie=UTF-8,https://www.google.com/search?sca_esv=600376160&rlz=1C5CHFA_enNL1081NL1081&q=wat+betekent+schotse&tbm=vid&source=lnms&sa=X&ved=2ahUKEwijl-Lh6vCDAxXt3QIHHW-oA8EQ0pQJegQIDBAB&biw=1468&bih=1328&dpr=2,-,Nee,Ja,Vragen van anderen (top),,Vragen,,Taal/Cultuur,10,"Schotse - 2 definities - Encyclo (https://www.notion.so/Schotse-2-definities-Encyclo-9c97b2927a3c4b33b1c707dc1f7c5cab?pvs=21), Schotse Nederlands woordenboek - Woorden.org (https://www.notion.so/Schotse-Nederlands-woordenboek-Woorden-org-f9f3f0a638ef425585fe4bd3ff5a219c?pvs=21), schots Nederlands woordenboek - Woorden.org (https://www.notion.so/schots-Nederlands-woordenboek-Woorden-org-64b0208479e54e44b348f067f12eac18?pvs=21), Gratis woordenboek | Van Dale NEDERLAND (https://www.notion.so/Gratis-woordenboek-Van-Dale-NEDERLAND-d5964e198f4a4899a1e79190c8172a20?pvs=21), Schots (taal) - Wikipedia (https://www.notion.so/Schots-taal-Wikipedia-d52fc6ca2c3548fa958375bd8ca5af3d?pvs=21), Wat is de betekenis van Schotse (https://www.notion.so/Wat-is-de-betekenis-van-Schotse-9463f4fe8db4452785a3b22037e1d981?pvs=21), Schots - WikiWoordenboek (https://www.notion.so/Schots-WikiWoordenboek-7204a6e24d254ccfbd7a17a30023601b?pvs=21), 10 Schots-Gaelische plaatsnamen en hun betekenis | VisitScotland (https://www.notion.so/10-Schots-Gaelische-plaatsnamen-en-hun-betekenis-VisitScotland-3dedb03c94bb4a2a86ce2531d136ee46?pvs=21), Schotland - Wikipedia (https://www.notion.so/Schotland-Wikipedia-0d007eefc7a848f883b140beebf6a9a3?pvs=21), Schots - 7 definities - Encyclo (https://www.notion.so/Schots-7-definities-Encyclo-15f45decf9ae41b3b6da59595613f9e3?pvs=21)",Yes,,,,"July 18, 2023 7:47 PM",,,
middellandse zee,Done,https://www.google.com/search?q=middellandse+zee&rlz=1C5CHFA_enNL1081NL1081&oq=middellandse+zee&gs_lcrp=EgZjaHJvbWUqDQgAEAAY4wIYsQMYgAQyDQgAEAAY4wIYsQMYgAQyCggBEC4YsQMYgAQyBwgCEAAYgAQyBwgDEAAYgAQyBwgEEAAYgAQyBwgFEAAYgAQyBwgGEAAYgAQyBwgHEAAYgAQyBwgIEAAYgAQyBwgJEAAYgATSAQcyMjBqMGo0qAIAsAIA&sourceid=chrome&ie=UTF-8#ip=1,https://www.google.com/search?sca_esv=600376160&rlz=1C5CHFA_enNL1081NL1081&q=middellandse+zee&tbm=vid&source=lnms&sa=X&ved=2ahUKEwjz74nx6vCDAxVM9gIHHdUYC0gQ0pQJegQICxAB&biw=1468&bih=1328&dpr=2,-,Ja uitgebreid,Nee,"Afbeeldingen carroussel (top), Gerelateerde zoekopdrachten (na 10), Meer om te vragen (top)",,Named entity,,Aardrijkskunde,11,,Yes,,,,"July 18, 2023 7:47 PM",,,
De smurfen,Done,https://www.google.nl/search?q=De+smurfen&sca_esv=578451392&source=hp&ei=LCZCZa2GEZGci-gPgrGpmAs&iflsig=AO6bgOgAAAAAZUI0PDof-Lgp_rTkVu22VmquwHWgM2RC&ved=0ahUKEwitzOTXyaKCAxURzgIHHYJYCrMQ4dUDCAw&uact=5&oq=De+smurfen&gs_lp=Egdnd3Mtd2l6IgpEZSBzbXVyZmVuMggQABiABBixAzIFEC4YgAQyBRAuGIAEMgUQLhiABDIFEC4YgAQyBRAuGIAEMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABEi0UVCQA1iQA3ABeACQAQCYATmgATmqAQExuAEDyAEA-AEC-AEBqAIA&sclient=gws-wiz#ip=1,https://www.google.nl/search?sca_esv=578451392&q=De+smurfen&tbm=vid&source=lnms&sa=X&ved=2ahUKEwjEz8z-6vCDAxWKzwIHHcBCAPAQ0pQJegQIDRAB&biw=1468&bih=1328&dpr=2,-,Ja,Nee,"Gerelateerde zoekopdrachten (na 10), Meer om te vragen (top), Muziekartiest (top), Nummers, Video's",,Named entity,Merk/Bedrijf,Taal/Cultuur,10,,Yes,,,google.nl/com (https://www.notion.so/google-nl-com-7c0c28e0af774374ba7898b99657f780?pvs=21),"July 18, 2023 7:47 PM",,,
keurmerk max,Done,https://www.google.com/search?q=keurmerk+max&rlz=1C5CHFA_enNL1081NL1081&oq=keurmerk+max&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQABiABDIHCAIQABiABDIICAMQABgWGB7SAQkyNzg3ajBqMTWoAgCwAgA&sourceid=chrome&ie=UTF-8,https://www.google.com/search?sca_esv=600376160&rlz=1C5CHFA_enNL1081NL1081&q=keurmerk+max&tbm=vid&source=lnms&sa=X&ved=2ahUKEwj069aK6_CDAxUf-wIHHWP1CaQQ0pQJegQICxAB&biw=1468&bih=1328&dpr=2,-,Nee,Nee,"Gerelateerde zoekopdrachten (na 10), Meer om te vragen (top)",,2 of meer woorden,,Maatschappij,7,,Yes,,,,"July 18, 2023 7:47 PM",,,
koning van belgieje,Done,https://www.google.com/search?q=koning+van+belgieje&rlz=1C5CHFA_enNL1081NL1081&oq=koning+van+belgieje&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIJCAEQABgNGIAEMgkIAhAAGA0YgAQyCQgDEAAYDRiABDIJCAQQABgNGIAEMgkIBRAAGA0YgAQyCQgGEAAYDRiABDIJCAcQABgNGIAEMggICBAAGA0YHjIICAkQABgNGB7SAQc1NTZqMWo0qAIAsAIA&sourceid=chrome&ie=UTF-8#ip=1,https://www.google.com/search?sca_esv=600376160&rlz=1C5CHFA_enNL1081NL1081&q=koning+van+belgie&tbm=vid&source=lnms&sa=X&ved=2ahUKEwjQkteX6_CDAxUN0QIHHZ50AKEQ0pQJegQIDBAB&biw=1468&bih=1328&dpr=2,-,Ja uitgebreid,Soort van: highlights,"Afbeeldingen carroussel (top), Gerelateerde zoekopdrachten (na 10), Meer om te vragen (top), Resultaten voor",Resultaten voor koning van belgie,2 of meer woorden,Spelfout(en),Maatschappij,8,,Yes,,,,"July 18, 2023 7:47 PM",,,
ronaldo,Done,https://www.google.nl/search?q=ronaldo&sca_esv=578856877&source=hp&ei=78ZDZbOmIfqui-gP4_SCWA&iflsig=AO6bgOgAAAAAZUPU_79oKPKvFScc6N_YzbPvCUUyOaNH&ved=0ahUKEwjz2ZKS16WCAxV61wIHHWO6AAsQ4dUDCAw&uact=5&oq=ronaldo&gs_lp=Egdnd3Mtd2l6Igdyb25hbGRvMgsQLhiDARixAxiABDILEC4YgwEYsQMYgAQyBRAAGIAEMgsQABiABBixAxiDATIIEAAYgAQYsQMyCBAAGIAEGLEDMgUQABiABDIEEAAYAzIFEAAYgAQyBRAAGIAESMUbUNoBWNoBcAF4AJABAJgBPqABPqoBATG4AQPIAQD4AQL4AQGoAgA&sclient=gws-wiz,https://www.google.nl/search?sca_esv=578856877&q=ronaldo&tbm=vid&source=lnms&sa=X&ved=2ahUKEwjl6e2j6_CDAxXF6wIHHawTASAQ0pQJegQICxAB&biw=1468&bih=1328&dpr=2,-,Ja,Nee,"Gerelateerde zoekopdrachten (na 10), Meer om te vragen (midden), Statistieken, Video's, Voorpaginanieuws",Kenniskaart is nu zowel aan top aan rechts; ranking is paar uur later al anders natuurlijk! Bij Video’s (na 10) staan voetbalvideo’s gelinkt,Named entity,Media(ster),Sport,10,,Yes,,,,"July 18, 2023 7:47 PM",,,
paris saint germain,Done,https://www.google.com/search?q=paris+saint+germain&rlz=1C5CHFA_enNL1081NL1081&oq=paris+saint+germain&gs_lcrp=EgZjaHJvbWUqDQgAEAAY4wIYsQMYgAQyDQgAEAAY4wIYsQMYgAQyCggBEC4YsQMYgAQyBwgCEAAYgAQyBwgDEAAYgAQyBwgEEAAYgAQyDQgFEC4YrwEYxwEYgAQyBwgGEAAYgAQyBwgHEAAYgAQyBwgIEAAYgAQyBwgJEAAYgATSAQgxNTEyajBqN6gCALACAA&sourceid=chrome&ie=UTF-8,https://www.google.com/search?sca_esv=600376160&rlz=1C5CHFA_enNL1081NL1081&q=paris+saint+germain&tbm=vid&source=lnms&sa=X&ved=2ahUKEwiwkNm-7PCDAxX59QIHHakDBd8Q0pQJegQICRAB&biw=1468&bih=1328&dpr=2,-,Ja,Nee,"Gerelateerde zoekopdrachten (na 10), Uitslagen, Video's",Bij Video’s (na 6) staan voetbalvideo’sL gelinkt,Named entity,Merk/Bedrijf,Sport,11,,Yes,,,,"July 18, 2023 7:47 PM",,,
brussel,Done,https://www.google.com/search?q=brussel&rlz=1C5CHFA_enNL1081NL1081&oq=brussel&gs_lcrp=EgZjaHJvbWUqDQgAEAAY4wIYsQMYgAQyDQgAEAAY4wIYsQMYgAQyCggBEC4YsQMYgAQyBwgCEAAYgAQyEAgDEC4YxwEYsQMY0QMYgAQyEAgEEC4YrwEYxwEYsQMYgAQyBwgFEAAYgAQyBwgGEAAYgAQyDQgHEC4YrwEYxwEYgAQyDQgIEC4YrwEYxwEYgAQyBwgJEAAYgATSAQgxMDQ3ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8#ip=1,https://www.google.com/search?sca_esv=600376160&rlz=1C5CHFA_enNL1081NL1081&q=brussel&tbm=vid&source=lnms&sa=X&ved=2ahUKEwiZhb_W7PCDAxVr1AIHHUgMC-gQ0pQJegQIChAB&biw=1468&bih=1328&dpr=2,-,Ja,Nee,"Aanraders, Afbeeldingen carroussel (top), Gerelateerde zoekopdrachten (na 10), Meer om te vragen (top), Voorpaginanieuws",Zouden alle reisadviezen ook gegeven worden als resultaat als Google weet dat je kind bent?,Eén woord,,Aardrijkskunde,11,,Yes,,,,"July 18, 2023 7:47 PM",,,
hirohito,Done,https://www.google.nl/search?q=hirohito&sca_esv=578929401&source=hp&ei=evpDZZSQI8uLi-gP-9q7sAY&iflsig=AO6bgOgAAAAAZUQIisL5d9ndZGZ2mQf6G4Q2TDTIez9l&ved=0ahUKEwiUtYOmiKaCAxXLxQIHHXvtDmYQ4dUDCAw&uact=5&oq=hirohito&gs_lp=Egdnd3Mtd2l6IghoaXJvaGl0bzIIEC4YsQMYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgARIrglQ9AJY9AJwAXgAkAEAmAE6oAE6qgEBMbgBA8gBAPgBAvgBAagCCsICChAAGAMYjwEY6gLCAgoQLhgDGI8BGOoC&sclient=gws-wiz#ip=1,https://www.google.nl/search?sca_esv=578929401&q=hirohito&tbm=vid&source=lnms&sa=X&ved=2ahUKEwiUhsPi7PCDAxUw0wIHHfu0AhQQ0pQJegQICxAB&biw=1468&bih=1328&dpr=2,-,Nee,Nee,"Boeken, Extra: Neven/nichten, Films, Gerelateerde zoekopdrachten (na 10), Meer om te vragen (top), Mensen zoeken ook naar","ipv Kennisvenster, rechts: Mensen zoeken ook naar; Opvallend: veel facets (zie Extra)",Eén woord,,Geschiedenis,12,,Yes,,,,"July 18, 2023 7:47 PM",,,
